#steps	727264892	time	0.00200009	seed	1640351804
#type 1~vac, 2~sia, 3~fia, 4~vac_fia, 5~sia_fia
#no direction~0;	111~1;	-111~2;	1 - 11~3;	11 - 1~4
#id	type	x	y	z	size1	size2	dir
297618	3	85	52.5	5.5	0	0	1	0	0
297642	3	58.5	36.5	11	0	0	1	0	0
297672	13	65.5	83	9.5	9	0	2	33	0
297682	3	95	87.5	9.5	0	0	1	0	0
297695	3	37.5	82.5	16	0	0	1	0	0
297716	3	76	28.5	3.5	0	0	1	0	0
297775	3	5.5	72.5	11	0	0	1	0	0
297784	3	30	73.5	4.5	0	0	1	0	0
297855	3	60.5	36.5	7	0	0	3	0	0
297871	3	60	78.5	14.5	0	0	1	0	0
297876	3	0.5	64.5	5	0	0	1	0	0
297884	3	60.5	80	10.5	0	0	1	0	0
297896	3	35.5	83.5	22	0	0	1	0	0
297902	3	30	81.5	21.5	0	0	1	0	0
298010	3	55	7.5	13.5	0	0	1	0	0
298016	3	63.5	1	2.5	0	0	1	0	0
298031	3	73	59.5	4.5	0	0	1	0	0
298037	3	67.5	100	21.5	0	0	2	0	0
298060	3	29.5	65	34.5	0	0	1	0	0
298081	3	55	77.5	23.5	0	0	1	0	0
298108	3	51	12.5	11.5	0	0	1	0	0
298117	3	69.5	74	25.5	0	0	1	0	0
298120	3	58	67.5	15.5	0	0	1	0	0
298216	3	8	96.5	31.5	0	0	1	0	0
298237	13	92	94.5	23.5	3	0	2	13	0
298255	3	25	64.5	27.5	0	0	1	0	0
298267	3	11	11.5	13.5	0	0	1	0	0
298332	3	83.5	15.5	14	0	0	1	0	0
298343	3	7	67.5	26.5	0	0	1	0	0
298352	13	56.5	42	23.5	63	0	2	176	0
298378	3	13.5	22	38.5	0	0	1	0	0
298389	3	94	41.5	14.5	0	0	1	0	0
298456	3	43	28.5	2.5	0	0	1	0	0
298477	13	62	56.5	16.5	142	0	2	354	0
298507	13	58.5	93	3.5	26	0	2	81	0
298522	13	87.5	12.5	15	41	0	2	120	0
298528	13	86	13.5	11.5	15	0	4	50	0
298585	13	49.5	19	4.5	28	0	2	88	0
298607	3	97	68.5	14.5	0	0	1	0	0
298648	3	42.5	89	15.5	0	0	2	0	0
298675	3	40	37.5	4.5	0	0	1	0	0
